track_name,artist_name,valence,energy
For the Game,Chorus,0.637,0.826
Dragon Ball GT,Bernard Minet,0.641,0.937
I'll Feel Much Better When You Cry,Debbie Davis,0.616,0.773
Animauxville (Départ) - Live,Chantal Goya,0.393,0.932
Shree Ram Chant,Chorus,0.563,0.797
Shanthi Koru,Chorus,0.194,0.833
Czy Pamiętasz,Chorus,0.405,0.704
Tip Toe (feat. French Montana),Jason Derulo,0.62,0.709
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Christina Aguilera,0.673,0.766
SLOW DANCING IN THE DARK - Loud Luxury Remix,Joji,0.509,0.883
Dinero,Jennifer Lopez,0.643,0.881
S.w.I.n.G (feat. PnB Rock & Trey Songz),Tory Lanez,0.526,0.777
OMG (feat. will.i.am),Usher,0.326,0.745
KeeP IN tOUcH (feat. Bryson Tiller),Tory Lanez,0.562,0.886
Black Widow,Iggy Azalea,0.527,0.726
Ridin' Solo,Jason Derulo,0.578,0.83
All I Do Is Win,DJ Khaled,0.293,0.791
Got Friends,GoldLink,0.345,0.75
Ain't My Fault,Zara Larsson,0.355,0.782
Countdown,Beyoncé,0.699,0.787
Prom,SZA,0.225,0.702
Antidote,Orion Sun,0.394,0.807
Dance for You,Beyoncé,0.471,0.78
That's My Girl,Fifth Harmony,0.612,0.851
Sticky,Ravyn Lenae,0.573,0.846
Go To Town,Doja Cat,0.7,0.71
Reckless,Arin Ray,0.605,0.701
It Girl,Jason Derulo,0.345,0.718
"J'aime tes g'noux - Shame, Shame, Shame",Henri Salvador,0.69,0.916
But pour Rudy,Le Club des Juniors,0.654,0.869
Sukhkarta Dukhharta - Aarti,Chorus,0.695,0.785
Toi - live,Henri Salvador,0.687,0.814
Je n'ai pas de problème,Chorus,0.386,0.748
Mes Nuits Blanches,Karine Costa,0.532,0.743
Saare Jahan -Unique - Original,Chorus,0.464,0.736
Aarti Kunj Bihari Ki,Chorus,0.689,0.802
Take Me Away,Karine Costa,0.398,0.784
Zip a Dou Da - Remastered,Henri Salvador,0.452,0.802
Vandana Ko Deva Aalu,Chorus,0.675,0.715
Veda Thandavam,Chorus,0.217,0.91
Lokamaa Neekidi,Chorus,0.598,0.739
La vérité si je mange (de la bouffe en gros),Les Hérissons,0.687,0.846
Tu es ma plus belle histoire (par Michèle Laroque),Martin & les fées,0.358,0.732
That's Life (feat. Mac Miller & Sia),88-Keys,0.526,0.774
Hurt,Oliver Tree,0.486,0.782
Tongue Tied,Grouplove,0.371,0.936
Sweater Weather,The Neighbourhood,0.398,0.807
My Mistake,Cam,0.541,0.704
That Girl,Kevin Fowler,0.597,0.859
