track_name,artist_name,valence,energy
C'est beau de faire un Show,Henri Salvador,0.814,0.91
Perdu d'avance (par Gad Elmaleh),Martin & les fées,0.816,0.737
Les bisous des bisounours,Le Club des Juniors,0.718,0.705
Ultra Man 80,Bernard Minet,0.926,0.953
Ladies And Gentlemen,Amalya,0.733,0.748
Monsieur Boum Boum,Henri Salvador,0.836,0.804
A ty się śmiejesz ze mnie,Chorus,0.812,0.941
Super Insomniaque,Karine Costa,0.757,0.847
Papa loves mambo,Henri Salvador,0.918,0.702
Kaisi Anokhi Mehfil,Chorus,0.924,0.846
Mabrouka Ananas ma Nana,Les Hérissons,0.845,0.86
Swami Samartha Majhe Aai,Chorus,0.745,0.746
Mazurka Pour Ma Mie,Henri Salvador,0.878,0.713
Hate That I Love You,Rihanna,0.732,0.73
Pretty Girl Rock,Keri Hilson,0.9,0.87
Right Thurr,Chingy,0.891,0.749
Move Ya Body,Nina Sky,0.828,0.71
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,0.755,0.791
Love Me Now,John Legend,0.709,0.762
Overnight Celebrity,Twista,0.777,0.792
Fools,Madison Beer,0.851,0.793
On My Mind,Ellie Goulding,0.743,0.705
Dragon Ball et Dragon Ball Z,Bernard Minet,0.919,0.851
Hindolam,Chorus,0.961,0.865
Les filles sont si jolies,Bernard Minet,0.962,0.88
Tylko ty,Chorus,0.971,0.949
Tripplestar Camp,Chorus,0.842,0.795
Lutinette et Lutinou,Le Club des Juniors,0.791,0.733
Siffler sur la colline,Houcine,0.957,0.811
Noothi Yettu Potri - Language: Tamil; Genre: Amman,Chorus,0.81,0.806
Udaya Gaganadalli,Chorus,0.963,0.759
Oliver,Le Club des Juniors,0.762,0.783
"Force rouge, force jaune",Bernard Minet,0.882,0.77
Sharivan,Bernard Minet,0.896,0.885
Marc et Marie,Bernard Minet,0.966,0.873
Veera La Shagana Di Mehndi,Chorus,0.954,0.817
Jaspion,Bernard Minet,0.965,0.972
Le roi Arthur,Bernard Minet,0.713,0.925
Tyagarajunalla,Chorus,0.96,0.722
Un endroit où nul ne va jamais (par Gérard Lenorman),Martin & les fées,0.839,0.752
Je n'ai pas su te prendre te comprendre,Bernard Minet,0.962,0.967
Siuch,Chorus,0.973,0.976
Gumowe Palto,Chorus,0.839,0.863
Shurato,Bernard Minet,0.968,0.822
Twist De L'enrhumé - Remastered,Henri Salvador,0.864,0.879
Sikka Ke Pehlu To,Chorus,0.759,0.862
No Shade,Chorus,0.716,0.713
Coeur Brisé à Prendre - Remastered,Henri Salvador,0.841,0.805
Turbo Rangers - Générique,Bernard Minet,0.775,0.702
One Fine Day,MC6 A Cappella,0.727,0.702
Part Time Lover,Hyannis Sound,0.722,0.721
Long Train Runnin',Hyannis Sound,0.885,0.769
Cecilia,Tonic Sol-Fa,0.964,0.818
29 Ways to My Back Door,Tonic Sol-Fa,0.884,0.786
All Star,Smash Mouth,0.78,0.861
Feel Good Inc.,Gorillaz,0.772,0.705
Smells Like Teen Spirit,Nirvana,0.728,0.906
Sippin' on the Good Times,Adam Sanders,0.898,0.756
Sugar Daddy,Pistol Annies,0.912,0.87
Laps Around The Sun,Chris Lane,0.757,0.784
Confetti,Gone West,0.852,0.844
Yin Yang Girl,Morgan Wallen,0.757,0.904
Pontiac,Ryan Bingham,0.803,0.859
Feels This Right,Casey Donahew,0.823,0.961
One Girl,Chris Lane,0.948,0.743
My Ol' Bronco,Luke Bryan,0.798,0.897
U Turn,Chase Rice,0.914,0.851
Back That Thing Up,Justin Moore,0.764,0.896
Let It Ride,Bachman-Turner Overdrive,0.843,0.781
Destroyer,Dead Man Winter,0.826,0.813
Reckless (Still Growin' Up),Kip Moore,0.807,0.766
One Way Ticket (Because I Can),LeAnn Rimes,0.746,0.778
Kinda Missing You,Josh Abbott Band,0.782,0.877
