track_name,artist_name,valence,energy
Dis-moi Monsieur Gordon Cooper,Henri Salvador,0.227,0.326
Let Me Let Go,Laura Mayne,0.274,0.269
Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato,Leopold Stokowski,0.0849,0.145
The Hanging (Maverick - Original Motion Picture Score) - Remastered,Randy Newman,0.118,0.133
Keys of Love,Richard M. Sherman,0.27,0.174
Diane,Jean Claude Corbel,0.298,0.237
Afterglow,Richard M. Sherman,0.188,0.2
La Vie grise,Henri Salvador,0.222,0.107
Bon Dieu qu'elle est con - live,Henri Salvador,0.279,0.294
Jack To The Rescue - Meet The Parents/Soundtrack,Randy Newman,0.183,0.0808
"Oh quel chien/Il se traîne - From ""Lady and the Tramp""/French Soundtrack Version",Marie Ruggieri,0.193,0.16
Snow White: Taas paiva kaunein on (Some Day My Prince Will Come),Frank Churchill,0.0767,0.151
"We All Believe In One God, Giant Fugue, BWV 680",Leopold Stokowski,0.195,0.185
Forgotten Dreams,Richard M. Sherman,0.111,0.0478
Shri Gayatri Mahamantra,Chorus,0.299,0.122
Cherche la rose,Henri Salvador,0.146,0.312
This Is Gonna Be Good,Randy Newman,0.0625,0.196
The Pros Go To College,Randy Newman,0.072,0.107
A New Day: 7:00 A.M.,Randy Newman,0.0378,0.041
Needs,ELHAE,0.225,0.331
Hero,Mariah Carey,0.178,0.378
I Know,Big Sean,0.277,0.345
Disconnect,6LACK,0.184,0.337
Childs Play (feat. Chance the Rapper),SZA,0.22,0.342
Movie,Tom Misch,0.182,0.379
I'm Not OK,H.E.R.,0.147,0.395
Be Your X,T-Pain,0.265,0.291
Paranoid (feat. B.o.B),Ty Dolla $ign,0.258,0.398
Wasted,Summer Walker,0.205,0.348
Assume Form,James Blake,0.148,0.349
Bad Religion,Frank Ocean,0.13,0.358
Avan i two ta,Céline Languedoc,0.235,0.371
"Symphony No. 6 in B minor, Op. 74 'Pathétique': I Adagio - Allegro non troppo",Leopold Stokowski,0.0759,0.13
Syracuse - Remastered,Henri Salvador,0.252,0.368
Shri Ganesh Beej Mantra,Chorus,0.0,0.0481
Dans Mon Île,Henri Salvador,0.275,0.378
Cheveux dans le vent,Henri Salvador,0.0986,0.196
Parenthood (Karen & Gil / Montage),Randy Newman,0.039,0.0923
Symphony No.1 In C Major : I. Allegro Vivo,Leopold Stokowski,0.259,0.279
Bon à rien,Henri Salvador,0.151,0.0133
Odhi is ieron lohon (Ode to Sacred Battalion),Chorus,0.159,0.146
Ciel de Paris,Henri Salvador,0.263,0.182
Symphony No.4 In E Minor Op.98 : II. Andante,Leopold Stokowski,0.0762,0.118
Henry Goes To Work,Randy Newman,0.157,0.287
Le clochard,Henri Salvador,0.135,0.0949
"Family Album: Homage to Alfred, Emil and Lionel Newman: I. The Follies: Young and Beautiful",Randy Newman,0.258,0.0297
Ma chère et tendre - live,Henri Salvador,0.204,0.333
